Team,Timeframe,Profile URL,Maps played,Wins,Draws,Losses,Total kills,Total deaths,Rounds played,K/D Ratio
Monte,Last 6 Months,https://www.hltv.org/stats/teams/11811/monte?startDate=all&csVersion=CS2,78,45,0,33,5533,5498,1696,1.01
Monte,Last 12 Months,https://www.hltv.org/stats/teams/11811/monte?startDate=all&csVersion=CS2,254,146,0,108,18921,18242,5574,1.04
Ninjas in Pyjamas,Last Month,https://www.hltv.org/stats/teams/4411/ninjas-in-pyjamas?startDate=all&csVersion=CS2,15,9,0,6,1062,1052,312,1.01
Ninjas in Pyjamas,Last 3 Months,https://www.hltv.org/stats/teams/4411/ninjas-in-pyjamas?startDate=all&csVersion=CS2,52,30,0,22,3775,3652,1121,1.03
Ninjas in Pyjamas,Last 6 Months,https://www.hltv.org/stats/teams/4411/ninjas-in-pyjamas?startDate=all&csVersion=CS2,100,57,0,43,7425,7137,2184,1.04
Ninjas in Pyjamas,Last 12 Months,https://www.hltv.org/stats/teams/4411/ninjas-in-pyjamas?startDate=all&csVersion=CS2,198,107,0,91,14314,13870,4219,1.03
OG,Last Month,https://www.hltv.org/stats/teams/10503/og?startDate=all&csVersion=CS2,14,8,0,6,973,971,293,1.00
OG,Last 3 Months,https://www.hltv.org/stats/teams/10503/og?startDate=all&csVersion=CS2,39,21,0,18,2925,2805,861,1.04
OG,Last 6 Months,https://www.hltv.org/stats/teams/10503/og?startDate=all&csVersion=CS2,55,28,0,27,4105,4020,1223,1.02
OG,Last 12 Months,https://www.hltv.org/stats/teams/10503/og?startDate=all&csVersion=CS2,183,101,0,82,13763,13230,4028,1.04
Party Astronauts,Last Month,https://www.hltv.org/stats/teams/8038/party-astronauts?startDate=all&csVersion=CS2,0,0,0,0,0,0,0,-
Party Astronauts,Last 3 Months,https://www.hltv.org/stats/teams/8038/party-astronauts?startDate=all&csVersion=CS2,0,0,0,0,0,0,0,-
Party Astronauts,Last 6 Months,https://www.hltv.org/stats/teams/8038/party-astronauts?startDate=all&csVersion=CS2,0,0,0,0,0,0,0,-
Party Astronauts,Last 12 Months,https://www.hltv.org/stats/teams/8038/party-astronauts?startDate=all&csVersion=CS2,19,7,0,12,1319,1458,396,0.90
RUSH B,Last Month,https://www.hltv.org/stats/teams/12559/rush-b?startDate=all&csVersion=CS2,0,0,0,0,0,0,0,-
RUSH B,Last 3 Months,https://www.hltv.org/stats/teams/12559/rush-b?startDate=all&csVersion=CS2,0,0,0,0,0,0,0,-
RUSH B,Last 6 Months,https://www.hltv.org/stats/teams/12559/rush-b?startDate=all&csVersion=CS2,0,0,0,0,0,0,0,-
RUSH B,Last 12 Months,https://www.hltv.org/stats/teams/12559/rush-b?startDate=all&csVersion=CS2,11,6,0,5,775,712,231,1.09
Sharks,Last Month,https://www.hltv.org/stats/teams/8113/sharks?startDate=all&csVersion=CS2,24,10,0,14,1664,1750,524,0.95
Sharks,Last 3 Months,https://www.hltv.org/stats/teams/8113/sharks?startDate=all&csVersion=CS2,44,23,0,21,2960,2941,909,1.01
Sharks,Last 6 Months,https://www.hltv.org/stats/teams/8113/sharks?startDate=all&csVersion=CS2,130,76,0,54,9401,8854,2773,1.06
Sharks,Last 12 Months,https://www.hltv.org/stats/teams/8113/sharks?startDate=all&csVersion=CS2,278,168,0,110,20460,18898,5936,1.08
NAVI Junior,Last Month,https://www.hltv.org/stats/teams/10371/navi-junior?startDate=all&csVersion=CS2,6,2,0,4,362,415,116,0.87
NAVI Junior,Last 3 Months,https://www.hltv.org/stats/teams/10371/navi-junior?startDate=all&csVersion=CS2,9,4,0,5,552,605,172,0.91
NAVI Junior,Last 6 Months,https://www.hltv.org/stats/teams/10371/navi-junior?startDate=all&csVersion=CS2,25,10,0,15,1518,1703,484,0.89
NAVI Junior,Last 12 Months,https://www.hltv.org/stats/teams/10371/navi-junior?startDate=all&csVersion=CS2,35,18,0,17,2221,2340,680,0.95
Rooster,Last Month,https://www.hltv.org/stats/teams/9881/rooster?startDate=all&csVersion=CS2,0,0,0,0,0,0,0,-
Rooster,Last 3 Months,https://www.hltv.org/stats/teams/9881/rooster?startDate=all&csVersion=CS2,60,34,0,26,4246,4172,1262,1.02
Rooster,Last 6 Months,https://www.hltv.org/stats/teams/9881/rooster?startDate=all&csVersion=CS2,90,48,0,42,6322,6331,1894,1.00
Rooster,Last 12 Months,https://www.hltv.org/stats/teams/9881/rooster?startDate=all&csVersion=CS2,193,112,0,81,13695,12978,4008,1.06
Passion UA,Last Month,https://www.hltv.org/stats/teams/12426/passion-ua?startDate=all&csVersion=CS2,5,1,0,4,367,386,110,0.95
Passion UA,Last 3 Months,https://www.hltv.org/stats/teams/12426/passion-ua?startDate=all&csVersion=CS2,52,25,0,27,3897,3815,1139,1.02
Passion UA,Last 6 Months,https://www.hltv.org/stats/teams/12426/passion-ua?startDate=all&csVersion=CS2,98,48,0,50,7080,7008,2104,1.01
Passion UA,Last 12 Months,https://www.hltv.org/stats/teams/12426/passion-ua?startDate=all&csVersion=CS2,241,120,0,121,17809,17570,5241,1.01
CYBERSHOKE,Last Month,https://www.hltv.org/stats/teams/12380/cybershoke?startDate=all&csVersion=CS2,29,18,0,11,2148,1999,617,1.07
CYBERSHOKE,Last 3 Months,https://www.hltv.org/stats/teams/12380/cybershoke?startDate=all&csVersion=CS2,74,43,0,31,5511,5175,1596,1.06
CYBERSHOKE,Last 6 Months,https://www.hltv.org/stats/teams/12380/cybershoke?startDate=all&csVersion=CS2,124,69,0,55,9034,8600,2644,1.05
CYBERSHOKE,Last 12 Months,https://www.hltv.org/stats/teams/12380/cybershoke?startDate=all&csVersion=CS2,337,185,0,152,24753,23909,7306,1.04
9INE,Last Month,https://www.hltv.org/stats/teams/10278/9ine?startDate=all&csVersion=CS2,3,1,0,2,273,269,80,1.01
9INE,Last 3 Months,https://www.hltv.org/stats/teams/10278/9ine?startDate=all&csVersion=CS2,42,20,0,22,3006,3015,909,1.00
9INE,Last 6 Months,https://www.hltv.org/stats/teams/10278/9ine?startDate=all&csVersion=CS2,125,65,0,60,9175,8998,2741,1.02
9INE,Last 12 Months,https://www.hltv.org/stats/teams/10278/9ine?startDate=all&csVersion=CS2,295,155,0,140,21954,21638,6527,1.01
BOSS,Last Month,https://www.hltv.org/stats/teams/12534/boss?startDate=all&csVersion=CS2,0,0,0,0,0,0,0,-
BOSS,Last 3 Months,https://www.hltv.org/stats/teams/12534/boss?startDate=all&csVersion=CS2,38,24,0,14,2678,2508,757,1.07
BOSS,Last 6 Months,https://www.hltv.org/stats/teams/12534/boss?startDate=all&csVersion=CS2,82,43,0,39,5730,5788,1682,0.99
BOSS,Last 12 Months,https://www.hltv.org/stats/teams/12534/boss?startDate=all&csVersion=CS2,202,115,0,87,14514,14028,4161,1.03
The Huns,Last Month,https://www.hltv.org/stats/teams/12510/the-huns?startDate=all&csVersion=CS2,9,3,0,6,507,628,174,0.81
The Huns,Last 3 Months,https://www.hltv.org/stats/teams/12510/the-huns?startDate=all&csVersion=CS2,58,29,0,29,4043,3994,1198,1.01
The Huns,Last 6 Months,https://www.hltv.org/stats/teams/12510/the-huns?startDate=all&csVersion=CS2,104,57,0,47,7823,7492,2280,1.04
The Huns,Last 12 Months,https://www.hltv.org/stats/teams/12510/the-huns?startDate=all&csVersion=CS2,193,115,0,78,14484,13753,4177,1.05
MIBR,Last Month,https://www.hltv.org/stats/teams/9215/mibr?startDate=all&csVersion=CS2,15,9,0,6,1026,954,291,1.08
MIBR,Last 3 Months,https://www.hltv.org/stats/teams/9215/mibr?startDate=all&csVersion=CS2,36,20,0,16,2585,2459,754,1.05
MIBR,Last 6 Months,https://www.hltv.org/stats/teams/9215/mibr?startDate=all&csVersion=CS2,105,72,0,33,7825,7082,2247,1.10
MIBR,Last 12 Months,https://www.hltv.org/stats/teams/9215/mibr?startDate=all&csVersion=CS2,185,113,0,72,13546,12758,3963,1.06
PARIVISION,Last Month,https://www.hltv.org/stats/teams/12467/parivision?startDate=all&csVersion=CS2,16,6,0,10,1026,1137,337,0.90
PARIVISION,Last 3 Months,https://www.hltv.org/stats/teams/12467/parivision?startDate=all&csVersion=CS2,42,20,0,22,3000,3123,942,0.96
PARIVISION,Last 6 Months,https://www.hltv.org/stats/teams/12467/parivision?startDate=all&csVersion=CS2,100,54,0,46,7239,7397,2262,0.98
PARIVISION,Last 12 Months,https://www.hltv.org/stats/teams/12467/parivision?startDate=all&csVersion=CS2,244,148,0,96,17861,17246,5410,1.04
Falcons,Last Month,https://www.hltv.org/stats/teams/11283/falcons?startDate=all&csVersion=CS2,30,19,0,11,2317,2281,699,1.02
Falcons,Last 3 Months,https://www.hltv.org/stats/teams/11283/falcons?startDate=all&csVersion=CS2,54,34,0,20,4074,3951,1216,1.03
