Player,Total Kills,Total Headshots,Kills per Round,Headshots per Round,Rounds played
krazy,5721,2665.9860000000003,0.706819866567828,0.3293780578206079,8094
lan,3245,1294.755,0.7306912857464535,0.291545823012835,4441
Westmelon,5564,3243.812,0.6826993865030675,0.39801374233128833,8150
jabbi,6581,4007.8289999999997,0.6883891213389122,0.41922897489539745,9560
F1KU,6470,3772.01,0.6703273932863655,0.3908008702859511,9652
sausol,9904,5338.255999999999,0.7117499101688824,0.38363320158102765,13915
Krabeni,9638,5609.316,0.7113965160909359,0.4140327723649247,13548
brutmonster,16254,5672.646,0.6989164086687306,0.24392182662538697,23256
BledarD,7317,2429.244,0.7153191905367093,0.23748597125818752,10229
dycha,7176,4111.848,0.6740559834679692,0.38623407852714636,10646
jks,3356,1939.7679999999998,0.6689256527805462,0.38663902730715566,5017
nifee,5501,3091.562,0.67439009439745,0.3790072330513669,8157
detr0ittJ,8116,2751.3239999999996,0.6934381408065619,0.23507552973342444,11704
abizz,5646,3308.5560000000005,0.6639228598306679,0.38905879586077147,8504
hades,8751,2835.3239999999996,0.7173538814656939,0.23242265759488479,12199
shield,4602,1454.2320000000002,0.6925507900677201,0.2188460496613996,6645
arrozdoce,7261,4298.512,0.6492310443490701,0.38434477825464947,11184
hAdji,8408,4523.504,0.7017192455349691,0.3775249540978134,11982
zevy,8446,3057.452,0.708438181513169,0.25645462170776717,11922
YumsaN,4079,1431.729,0.6748841826604898,0.2368843481138319,6044
Raijin,7504,4472.384,0.6934664079105443,0.4133059791146844,10821
yiksrezo,3483,2173.392,0.7103813991433816,0.4432779930654701,4903
SpavaQu,7111,2815.956,0.7257603592569912,0.28740110226576854,9798
DEPRESHN,4401,1628.37,0.6940545655259422,0.25680018924459863,6341
xm1nd,3330,1242.09,0.7052096569250318,0.2630432020330368,4722
chelleos,5911,2110.2270000000003,0.7036067134864897,0.2511875967146769,8401
Demho,9684,4890.42,0.6488007503684845,0.32764437893608467,14926
Drop,3114,1528.974,0.6856010568031704,0.33663011889035666,4542
FL1T,5787,2968.7309999999998,0.6848520710059172,0.3513291124260355,8450
Alisson,5933,3002.098,0.6997287415968865,0.3540627432480245,8479
ammar,6329,4215.114,0.6870386452453322,0.45756773773339116,9212
kaze,4310,1758.48,0.6617534162444342,0.26999539382772914,6513
ivz,5558,2050.902,0.6911216115394181,0.25502387465804527,8042
Smash,9623,4965.468,0.6570394647002594,0.33903236378533386,14646
Frontsiderr,5040,2963.52,0.6742474916387959,0.39645752508361204,7475
woxic,7545,2625.66,0.6927738499678634,0.24108529978881643,10891
